Season,Week,Day,Date,AwayTeam,HomeTeam,Quarter,DriveNumber,TeamWithPossession,IsScoringDrive,PlayNumberInDrive,IsScoringPlay,PlayOutcome,PlayStart,PlayTimeFormation,PlayDescription
2017,Week 7,THU,10/19,Chiefs,Raiders,1st Quarter,1,Kansas City Chiefs,1,1,0,Kickoff from OAK 35,,Kickoff,"— G.Tavecchio kicks 65 yards from OAK 35 to end zone, Touchback. OAK CAPTAINS: #4 D. Carr, #16 J. Holton, #27 R. Nelson, #53 N. Bowman, #61 R. Hudson KC CAPTAINS: #7 H. Butker, #22 M. Peters, #73 Z. Fulton"
2017,Week 7,THU,10/19,Chiefs,Raiders,1st Quarter,1,Kansas City Chiefs,1,2,0,4 Yard Run,1st & 10 at KC 25,15:00 1st Shotgun,— K.Hunt up the middle to KC 29 for 4 yards (M.Edwards; J.Ellis).
2017,Week 7,THU,10/19,Chiefs,Raiders,1st Quarter,1,Kansas City Chiefs,1,3,0,5 Yard Run,2nd & 6 at KC 29,14:22 1st Shotgun,— K.Hunt up the middle to KC 34 for 5 yards (R.Nelson).
2017,Week 7,THU,10/19,Chiefs,Raiders,1st Quarter,1,Kansas City Chiefs,1,4,0,2 Yard Run,3rd & 1 at KC 34,13:43 1st Shotgun,"— K.Hunt up the middle to KC 36 for 2 yards (N.Bowman, B.Irvin)."
2017,Week 7,THU,10/19,Chiefs,Raiders,1st Quarter,1,Kansas City Chiefs,1,5,0,-1 Yard Run,1st & 10 at KC 36,13:05 1st,— K.Hunt up the middle to KC 35 for -1 yards (J.Ellis).
2017,Week 7,THU,10/19,Chiefs,Raiders,1st Quarter,1,Kansas City Chiefs,1,6,0,16 Yard Pass,2nd & 11 at KC 35,12:27 1st Shotgun,— A.Smith pass short right to D.Robinson pushed ob at OAK 49 for 16 yards (R.Nelson).
2017,Week 7,THU,10/19,Chiefs,Raiders,1st Quarter,1,Kansas City Chiefs,1,7,0,12 Yard Pass,1st & 10 at OAK 49,11:49 1st,"— A.Smith pass short middle to D.Harris to OAK 37 for 12 yards (N.Morrow, N.Bowman) [T.Hester]."
2017,Week 7,THU,10/19,Chiefs,Raiders,1st Quarter,1,Kansas City Chiefs,1,8,0,2 Yard Run,1st & 10 at OAK 37,11:11 1st,"— K.Hunt right tackle to OAK 35 for 2 yards (K.Mack, K.Joseph)."
2017,Week 7,THU,10/19,Chiefs,Raiders,1st Quarter,1,Kansas City Chiefs,1,9,0,Pass Incomplete,2nd & 8 at OAK 35,10:29 1st Shotgun,— A.Smith pass incomplete short left to D.Robinson.
2017,Week 7,THU,10/19,Chiefs,Raiders,1st Quarter,1,Kansas City Chiefs,1,10,0,Pass Incomplete,3rd & 8 at OAK 35,10:24 1st Shotgun,— A.Smith pass incomplete short right to C.Spiller.
2017,Week 7,THU,10/19,Chiefs,Raiders,1st Quarter,1,Kansas City Chiefs,1,11,1,Field Goal,4th & 8 at OAK 35,10:19 1st,"— H.Butker 53 yard field goal is GOOD, Center-J.Winchester, Holder-D.Colquitt."
2017,Week 7,THU,10/19,Chiefs,Raiders,1st Quarter,2,Las Vegas Raiders,1,1,0,Kickoff from KC 35,,Kickoff,"— H.Butker kicks 65 yards from KC 35 to end zone, Touchback."
2017,Week 7,THU,10/19,Chiefs,Raiders,1st Quarter,2,Las Vegas Raiders,1,2,0,12 Yard Pass,1st & 10 at OAK 25,10:14 1st Shotgun,— D.Carr pass short left to A.Cooper to OAK 37 for 12 yards (T.Mitchell).
2017,Week 7,THU,10/19,Chiefs,Raiders,1st Quarter,2,Las Vegas Raiders,1,3,0,1 Yard Run,1st & 10 at OAK 37,09:37 1st Shotgun,— J.Richard left tackle to OAK 38 for 1 yard (B.Logan).
2017,Week 7,THU,10/19,Chiefs,Raiders,1st Quarter,2,Las Vegas Raiders,1,4,0,24 Yard Pass,2nd & 9 at OAK 38,09:00 1st,— D.Carr pass short right to J.Cook to KC 38 for 24 yards (E.Murray).
2017,Week 7,THU,10/19,Chiefs,Raiders,1st Quarter,2,Las Vegas Raiders,1,5,1,Touchdown,1st & 10 at KC 38,08:19 1st,"— Flea Flicker from #24 Lynch to #4 Carr. D.Carr pass deep left to A.Cooper for 38 yards, TOUCHDOWN. The Replay Official reviewed the runner broke the plane ruling, and the play was Upheld. The ruling on the field was confirmed."
2017,Week 7,THU,10/19,Chiefs,Raiders,1st Quarter,2,Las Vegas Raiders,1,6,1,Extra Point,,08:11 1st,"— G.Tavecchio extra point is GOOD, Center-J.Condo, Holder-M.King."
2017,Week 7,THU,10/19,Chiefs,Raiders,1st Quarter,3,Kansas City Chiefs,1,1,0,Kickoff from OAK 35,,Kickoff,— G.Tavecchio kicks 67 yards from OAK 35 to KC -2. J.Chesson to KC 18 for 20 yards (J.Olawale; E.Harris).
2017,Week 7,THU,10/19,Chiefs,Raiders,1st Quarter,3,Kansas City Chiefs,1,2,0,6 Yard Pass,1st & 10 at KC 18,08:06 1st,— A.Smith pass short right to K.Hunt to KC 24 for 6 yards (K.Joseph).
2017,Week 7,THU,10/19,Chiefs,Raiders,1st Quarter,3,Kansas City Chiefs,1,3,0,34 Yard Run,2nd & 4 at KC 24,07:24 1st,— K.Hunt up the middle to OAK 42 for 34 yards (N.Morrow).
2017,Week 7,THU,10/19,Chiefs,Raiders,1st Quarter,3,Kansas City Chiefs,1,4,0,-1 Yard Run,1st & 10 at OAK 42,06:42 1st Shotgun,— C.Spiller right guard to OAK 43 for -1 yards (N.Bowman).
2017,Week 7,THU,10/19,Chiefs,Raiders,1st Quarter,3,Kansas City Chiefs,1,5,0,1 Yard Pass,2nd & 11 at OAK 43,06:03 1st Shotgun,— A.Smith pass short right to A.Hunt pushed ob at OAK 42 for 1 yard (D.Amerson).
2017,Week 7,THU,10/19,Chiefs,Raiders,1st Quarter,3,Kansas City Chiefs,1,6,0,19 Yard Pass,3rd & 10 at OAK 42,05:26 1st Shotgun,"— A.Smith pass short right to D.Harris pushed ob at OAK 38 for 4 yards (K.McGill). PENALTY on OAK-D.Autry, Roughing the Passer, 15 yards, enforced at OAK 38."
2017,Week 7,THU,10/19,Chiefs,Raiders,1st Quarter,3,Kansas City Chiefs,1,7,0,13 Yard Pass,1st & 10 at OAK 23,05:01 1st,— A.Smith pass short left to K.Hunt pushed ob at OAK 10 for 13 yards (T.Carrie).
2017,Week 7,THU,10/19,Chiefs,Raiders,1st Quarter,3,Kansas City Chiefs,1,8,1,Touchdown,1st & 10 at OAK 10,04:23 1st Shotgun,"— A.Smith pass short left to T.Kelce for 10 yards, TOUCHDOWN."
2017,Week 7,THU,10/19,Chiefs,Raiders,1st Quarter,3,Kansas City Chiefs,1,9,1,Extra Point,,04:17 1st,"— H.Butker extra point is GOOD, Center-J.Winchester, Holder-D.Colquitt."
2017,Week 7,THU,10/19,Chiefs,Raiders,1st Quarter,4,Las Vegas Raiders,1,1,0,Kickoff from KC 35,,Kickoff,"— H.Butker kicks 65 yards from KC 35 to end zone, Touchback."
