Season,Week,Day,Date,AwayTeam,HomeTeam,Quarter,DriveNumber,TeamWithPossession,IsScoringDrive,PlayNumberInDrive,IsScoringPlay,PlayOutcome,PlayStart,PlayTimeFormation,PlayDescription
2017,Week 13,THU,11/30,Redskins,Cowboys,1st Quarter,1,Dallas Cowboys,0,1,0,Kickoff from WAS 35,,Kickoff,"— N.Rose kicks 65 yards from WAS 35 to end zone, Touchback."
2017,Week 13,THU,11/30,Redskins,Cowboys,1st Quarter,1,Dallas Cowboys,0,2,0,2 Yard Run,1st & 10 at DAL 25,15:00 1st,— A.Morris left tackle to DAL 27 for 2 yards (R.Kerrigan).
2017,Week 13,THU,11/30,Redskins,Cowboys,1st Quarter,1,Dallas Cowboys,0,3,0,2 Yard Run,2nd & 8 at DAL 27,14:24 1st,— A.Morris left guard to DAL 29 for 2 yards (Z.Vigil).
2017,Week 13,THU,11/30,Redskins,Cowboys,1st Quarter,1,Dallas Cowboys,0,4,0,Pass Incomplete,3rd & 6 at DAL 29,"13:37 1st No Huddle, Shotgun",— D.Prescott pass incomplete deep left to D.Bryant.
2017,Week 13,THU,11/30,Redskins,Cowboys,1st Quarter,1,Dallas Cowboys,0,5,0,Punt,4th & 6 at DAL 29,13:32 1st Punt formation,"— C.Jones punts 38 yards to WAS 33, Center-L.Ladouceur, fair catch by J.Crowder."
2017,Week 13,THU,11/30,Redskins,Cowboys,1st Quarter,2,Washington Commanders,0,1,0,1 Yard Run,1st & 10 at WAS 33,13:24 1st,— K.Cousins scrambles up the middle to WAS 34 for 1 yard (J.Smith).
2017,Week 13,THU,11/30,Redskins,Cowboys,1st Quarter,2,Washington Commanders,0,2,0,15 Yard Run,2nd & 9 at WAS 34,12:51 1st,— S.Perine left end to WAS 49 for 15 yards (B.Jones; X.Woods).
2017,Week 13,THU,11/30,Redskins,Cowboys,1st Quarter,2,Washington Commanders,0,3,0,-1 Yard Run,1st & 10 at WAS 49,12:13 1st,— S.Perine left tackle to WAS 48 for -1 yards (A.Hitchens).
2017,Week 13,THU,11/30,Redskins,Cowboys,1st Quarter,2,Washington Commanders,0,4,0,6 Yard Pass,2nd & 11 at WAS 48,11:37 1st,— K.Cousins pass short middle to V.Davis to DAL 46 for 6 yards (J.Smith).
2017,Week 13,THU,11/30,Redskins,Cowboys,1st Quarter,2,Washington Commanders,0,5,0,3 Yard Pass,3rd & 5 at DAL 46,10:57 1st Shotgun,— K.Cousins pass short left to B.Marshall to DAL 43 for 3 yards (T.Crawford) [D.Irving].
2017,Week 13,THU,11/30,Redskins,Cowboys,1st Quarter,2,Washington Commanders,0,6,0,Punt,4th & 2 at DAL 43,10:18 1st Punt formation,"— T.Way punts 33 yards to DAL 10, Center-N.Sundberg, fair catch by C.Beasley."
2017,Week 13,THU,11/30,Redskins,Cowboys,1st Quarter,3,Dallas Cowboys,0,1,0,Pass Incomplete,1st & 10 at DAL 10,10:10 1st,— D.Prescott pass incomplete short right to A.Morris.
2017,Week 13,THU,11/30,Redskins,Cowboys,1st Quarter,3,Dallas Cowboys,0,2,0,3 Yard Run,2nd & 10 at DAL 10,10:06 1st Shotgun,— D.Prescott left end pushed ob at DAL 13 for 3 yards (Z.Brown).
2017,Week 13,THU,11/30,Redskins,Cowboys,1st Quarter,3,Dallas Cowboys,0,3,0,-9 Yard Sack,3rd & 7 at DAL 13,09:43 1st Shotgun,— D.Prescott sacked at DAL 4 for -9 yards (sack split by J.Harvey-Clemons and P.Smith).
2017,Week 13,THU,11/30,Redskins,Cowboys,1st Quarter,3,Dallas Cowboys,0,4,0,Punt,4th & 16 at DAL 4,09:03 1st Punt formation,"— C.Jones punts 45 yards to DAL 49, Center-L.Ladouceur, downed by DAL-C.Awuzie."
2017,Week 13,THU,11/30,Redskins,Cowboys,1st Quarter,4,Washington Commanders,0,1,0,-2 Yard Run,1st & 10 at DAL 49,08:52 1st,— S.Perine right tackle to WAS 49 for -2 yards (D.Lawrence).
2017,Week 13,THU,11/30,Redskins,Cowboys,1st Quarter,4,Washington Commanders,0,2,0,Pass Incomplete,2nd & 12 at WAS 49,08:21 1st Shotgun,— K.Cousins pass incomplete short middle to J.Doctson (C.Awuzie).
2017,Week 13,THU,11/30,Redskins,Cowboys,1st Quarter,4,Washington Commanders,0,3,0,24 Yard Pass,3rd & 12 at WAS 49,08:16 1st Shotgun,"— K.Cousins pass short left to B.Marshall to DAL 42 for 9 yards (J.Lewis) [M.Collins]. PENALTY on DAL-M.Collins, Roughing the Passer, 15 yards, enforced at DAL 42."
2017,Week 13,THU,11/30,Redskins,Cowboys,1st Quarter,4,Washington Commanders,0,4,0,1 Yard Run,1st & 10 at DAL 27,07:44 1st,— S.Perine up the middle to DAL 26 for 1 yard (A.Hitchens).
2017,Week 13,THU,11/30,Redskins,Cowboys,1st Quarter,4,Washington Commanders,0,5,0,11 Yard Pass,2nd & 9 at DAL 26,07:21 1st,— K.Cousins pass short left to R.Grant to DAL 15 for 11 yards (B.Jones).
2017,Week 13,THU,11/30,Redskins,Cowboys,1st Quarter,4,Washington Commanders,0,6,0,-1 Yard Run,1st & 10 at DAL 15,06:46 1st Shotgun,— K.Cousins left tackle to DAL 16 for -1 yards (A.Hitchens).
