Season,Week,Day,Date,AwayTeam,HomeTeam,Quarter,DriveNumber,TeamWithPossession,IsScoringDrive,PlayNumberInDrive,IsScoringPlay,PlayOutcome,PlayStart,PlayTimeFormation,PlayDescription
2023,Week 17,THU,12/28,Jets,Browns,1st Quarter,1,Cleveland Browns,1,1,0,Kickoff from NYJ 35,,Kickoff,"— G.Zuerlein kicks 65 yards from NYJ 35 to end zone, Touchback."
2023,Week 17,THU,12/28,Jets,Browns,1st Quarter,1,Cleveland Browns,1,2,0,5 Yard Run,1st & 10 at CLE 25,15:00 1st,"— J.Ford right tackle to CLE 30 for 5 yards (M.Carter, J.Franklin-Myers)."
2023,Week 17,THU,12/28,Jets,Browns,1st Quarter,1,Cleveland Browns,1,3,0,-10 Yard Penalty,2nd & 5 at CLE 30,14:35 1st No Huddle,"— J.Flacco pass short left to E.Moore to CLE 44 for 14 yards (D.Reed). PENALTY on CLE-E.Moore, Offensive Pass Interference, 10 yards, enforced at CLE 30 - No Play."
2023,Week 17,THU,12/28,Jets,Browns,1st Quarter,1,Cleveland Browns,1,4,0,Pass Incomplete,2nd & 15 at CLE 20,14:16 1st Shotgun,— J.Flacco pass incomplete short right to J.Ford.
2023,Week 17,THU,12/28,Jets,Browns,1st Quarter,1,Cleveland Browns,1,5,0,36 Yard Pass,3rd & 15 at CLE 20,14:12 1st Shotgun,— J.Flacco pass short left to D.Njoku to NYJ 44 for 36 yards (J.Whitehead).
2023,Week 17,THU,12/28,Jets,Browns,1st Quarter,1,Cleveland Browns,1,6,0,10 Yard Run,1st & 10 at NYJ 44,13:23 1st,— N.Harris reported in as eligible. J.Ford left guard to NYJ 34 for 10 yards (J.Whitehead; D.Reed).
2023,Week 17,THU,12/28,Jets,Browns,1st Quarter,1,Cleveland Browns,1,7,0,-1 Yard Run,1st & 10 at NYJ 34,12:42 1st,— J.Ford right tackle to NYJ 35 for -1 yards (T.Adams).
2023,Week 17,THU,12/28,Jets,Browns,1st Quarter,1,Cleveland Browns,1,8,0,28 Yard Pass,2nd & 11 at NYJ 35,12:02 1st Shotgun,— J.Flacco pass deep left to D.Njoku to NYJ 7 for 28 yards (T.Adams).
2023,Week 17,THU,12/28,Jets,Browns,1st Quarter,1,Cleveland Browns,1,9,1,Touchdown,1st & 7 at NYJ 7,11:15 1st Shotgun,"— J.Flacco pass short left to J.Ford for 7 yards, TOUCHDOWN."
2023,Week 17,THU,12/28,Jets,Browns,1st Quarter,1,Cleveland Browns,1,10,1,Extra Point,,11:10 1st,"— R.Patterson extra point is GOOD, Center-C.Hughlett, Holder-M.Haack."
2023,Week 17,THU,12/28,Jets,Browns,1st Quarter,2,New York Jets,1,1,0,Kickoff from CLE 35,,Kickoff,"— R.Patterson kicks 65 yards from CLE 35 to end zone, Touchback."
