Season,Week,Day,Date,AwayTeam,HomeTeam,Quarter,DriveNumber,TeamWithPossession,IsScoringDrive,PlayNumberInDrive,IsScoringPlay,PlayOutcome,PlayStart,PlayTimeFormation,PlayDescription
2023,Week 11,THU,11/16,Bengals,Ravens,1st Quarter,1,Baltimore Ravens,1,1,0,Kickoff from CIN 35,,Kickoff,"— E.McPherson kicks 65 yards from CIN 35 to end zone, Touchback."
2023,Week 11,THU,11/16,Bengals,Ravens,1st Quarter,1,Baltimore Ravens,1,2,0,14 Yard Pass,1st & 10 at BAL 25,15:00 1st Shotgun,— L.Jackson pass short right to M.Andrews ran ob at BAL 39 for 14 yards.
2023,Week 11,THU,11/16,Bengals,Ravens,1st Quarter,1,Baltimore Ravens,1,3,0,1 Yard Run,1st & 10 at BAL 39,14:20 1st,"— G.Edwards left end to BAL 40 for 1 yard (D.Reader, L.Wilson)."
2023,Week 11,THU,11/16,Bengals,Ravens,1st Quarter,1,Baltimore Ravens,1,4,0,33 Yard Pass,2nd & 9 at BAL 40,13:38 1st Shotgun,— L.Jackson pass short middle to Z.Flowers pushed ob at CIN 27 for 33 yards (D.Hill).
2023,Week 11,THU,11/16,Bengals,Ravens,1st Quarter,1,Baltimore Ravens,1,5,0,7 Yard Run,1st & 10 at CIN 27,12:58 1st Shotgun,— L.Jackson right end to CIN 20 for 7 yards (D.Hill).
2023,Week 11,THU,11/16,Bengals,Ravens,1st Quarter,1,Baltimore Ravens,1,6,0,-1 Yard Run,2nd & 3 at CIN 20,12:16 1st Shotgun,— K.Mitchell right guard to CIN 21 for -1 yards (D.Hill).
2023,Week 11,THU,11/16,Bengals,Ravens,1st Quarter,1,Baltimore Ravens,1,7,0,8 Yard Run,3rd & 4 at CIN 21,"11:54 1st No Huddle, Shotgun",— L.Jackson scrambles left end to CIN 13 for 8 yards (G.Pratt).
2023,Week 11,THU,11/16,Bengals,Ravens,1st Quarter,1,Baltimore Ravens,1,8,0,9 Yard Pass,1st & 10 at CIN 13,11:05 1st Shotgun,"— L.Jackson pass short right to M.Andrews to CIN 4 for 9 yards (L.Wilson). FUMBLES (L.Wilson), and recovers at CIN 4. BAL-M.Andrews was injured during the play."
2023,Week 11,THU,11/16,Bengals,Ravens,1st Quarter,1,Baltimore Ravens,1,9,0,1 Yard Run,2nd & 1 at CIN 4,10:40 1st,"— G.Edwards left guard to CIN 3 for 1 yard (D.Hill, B.Hill)."
2023,Week 11,THU,11/16,Bengals,Ravens,1st Quarter,1,Baltimore Ravens,1,10,1,Touchdown,1st & 3 at CIN 3,10:06 1st Shotgun,"— G.Edwards left end for 3 yards, TOUCHDOWN."
2023,Week 11,THU,11/16,Bengals,Ravens,1st Quarter,1,Baltimore Ravens,1,11,1,Extra Point,,10:02 1st,"— J.Tucker extra point is GOOD, Center-T.Ott, Holder-J.Stout."
2023,Week 11,THU,11/16,Bengals,Ravens,1st Quarter,2,Cincinnati Bengals,1,1,0,Kickoff from BAL 35,,Kickoff,"— J.Tucker kicks 65 yards from BAL 35 to end zone, Touchback."
2023,Week 11,THU,11/16,Bengals,Ravens,1st Quarter,2,Cincinnati Bengals,1,2,0,7 Yard Run,1st & 10 at CIN 25,10:02 1st Shotgun,— J.Burrow scrambles up the middle to CIN 32 for 7 yards (O.Oweh).
2023,Week 11,THU,11/16,Bengals,Ravens,1st Quarter,2,Cincinnati Bengals,1,3,0,11 Yard Run,2nd & 3 at CIN 32,09:23 1st Shotgun,— J.Mixon right end to CIN 43 for 11 yards (P.Queen).
2023,Week 11,THU,11/16,Bengals,Ravens,1st Quarter,2,Cincinnati Bengals,1,4,0,22 Yard Pass,1st & 10 at CIN 43,08:49 1st Shotgun,"— J.Burrow pass short left to T.Hudson to 50 for 7 yards (O.Oweh). PENALTY on BAL-O.Oweh, Face Mask, 15 yards, enforced at 50."
2023,Week 11,THU,11/16,Bengals,Ravens,1st Quarter,2,Cincinnati Bengals,1,5,0,Pass Incomplete,1st & 10 at BAL 35,08:26 1st Shotgun,— J.Burrow pass incomplete short right to J.Chase.
2023,Week 11,THU,11/16,Bengals,Ravens,1st Quarter,2,Cincinnati Bengals,1,6,0,4 Yard Pass,2nd & 10 at BAL 35,08:22 1st Shotgun,— J.Burrow pass short right to T.Boyd to BAL 31 for 4 yards (K.Van Noy).
2023,Week 11,THU,11/16,Bengals,Ravens,1st Quarter,2,Cincinnati Bengals,1,7,0,Timeout,,07:40 1st,— Timeout #1 by CIN at 07:40.
2023,Week 11,THU,11/16,Bengals,Ravens,1st Quarter,2,Cincinnati Bengals,1,8,0,Pass Incomplete,3rd & 6 at BAL 31,07:40 1st Shotgun,— J.Burrow pass incomplete short left to T.Boyd (M.Williams).
2023,Week 11,THU,11/16,Bengals,Ravens,1st Quarter,2,Cincinnati Bengals,1,9,1,Field Goal,4th & 6 at BAL 31,07:37 1st,"— E.McPherson 50 yard field goal is GOOD, Center-C.Adomitis, Holder-B.Robbins."
2023,Week 11,THU,11/16,Bengals,Ravens,1st Quarter,3,Baltimore Ravens,0,1,0,Kickoff from CIN 35,,Kickoff,"— E.McPherson kicks 65 yards from CIN 35 to end zone, Touchback."
2023,Week 11,THU,11/16,Bengals,Ravens,1st Quarter,3,Baltimore Ravens,0,2,0,Pass Incomplete,1st & 10 at BAL 25,07:32 1st Shotgun,— L.Jackson pass incomplete deep middle to O.Beckham.
2023,Week 11,THU,11/16,Bengals,Ravens,1st Quarter,3,Baltimore Ravens,0,3,0,-4 Yard Run,2nd & 10 at BAL 25,07:26 1st Shotgun,— K.Mitchell right guard to BAL 21 for -4 yards (T.Hendrickson).
2023,Week 11,THU,11/16,Bengals,Ravens,1st Quarter,3,Baltimore Ravens,0,4,0,5 Yard Penalty,3rd & 14 at BAL 21,06:48 1st Shotgun,"— PENALTY on CIN, Defensive Too Many Men on Field, 5 yards, enforced at BAL 21 - No Play."
2023,Week 11,THU,11/16,Bengals,Ravens,1st Quarter,3,Baltimore Ravens,0,5,0,-9 Yard Sack,3rd & 9 at BAL 26,06:28 1st Shotgun,— L.Jackson sacked at BAL 17 for -9 yards (T.Hendrickson).
2023,Week 11,THU,11/16,Bengals,Ravens,1st Quarter,3,Baltimore Ravens,0,6,0,Punt,4th & 18 at BAL 17,05:56 1st,"— J.Stout punts 50 yards to CIN 33, Center-T.Ott. C.Jones to CIN 38 for 5 yards (D.Worley)."
2023,Week 11,THU,11/16,Bengals,Ravens,1st Quarter,4,Cincinnati Bengals,0,1,0,0 Yard Run,1st & 10 at CIN 38,05:45 1st,— J.Mixon right end to CIN 38 for no gain (M.Harrison).
2023,Week 11,THU,11/16,Bengals,Ravens,1st Quarter,4,Cincinnati Bengals,0,2,0,Timeout,,05:00 1st,— Timeout #2 by CIN at 05:00.
2023,Week 11,THU,11/16,Bengals,Ravens,1st Quarter,4,Cincinnati Bengals,0,3,0,Pass Incomplete,2nd & 10 at CIN 38,05:00 1st Shotgun,— J.Burrow pass incomplete short left to J.Chase (K.Hamilton).
2023,Week 11,THU,11/16,Bengals,Ravens,1st Quarter,4,Cincinnati Bengals,0,4,0,-7 Yard Sack,3rd & 10 at CIN 38,04:54 1st Shotgun,— J.Burrow sacked at CIN 31 for -7 yards (J.Clowney).
2023,Week 11,THU,11/16,Bengals,Ravens,1st Quarter,4,Cincinnati Bengals,0,5,0,Punt,4th & 17 at CIN 31,04:17 1st,"— B.Robbins punts 38 yards to BAL 31, Center-C.Adomitis, fair catch by D.Duvernay."
