Season,Week,GameStatus,Day,Date,AwayTeam,AwayRecord,AwayScore,AwayWin,HomeTeam,HomeRecord,HomeScore,HomeWin,AwaySeeding,HomeSeeding,PostSeason
2025,Week 14,UPCOMING,SUN,12/07,Rams,5-2,0.0,0.0,Cardinals,2-5,0.0,0.0,,,0
2025,Week 14,UPCOMING,SUN,12/07,Bengals,3-4,0.0,0.0,Bills,4-2,0.0,0.0,,,0
2025,Week 14,UPCOMING,SUN,12/07,Texans,2-4,0.0,0.0,Chiefs,4-3,0.0,0.0,,,0
2025,Week 14,UPCOMING,MON,12/08,Eagles,5-2,0.0,0.0,Chargers,4-3,0.0,0.0,,,0
2025,Week 14,BYE,,,Patriots,4-2,,,,,,,,,0
2025,Week 14,BYE,,,Giants,2-4,,,,,,,,,0
2025,Week 14,BYE,,,Panthers,3-3,,,,,,,,,0
2025,Week 14,BYE,,,49ers,4-2,,,,,,,,,0
2025,Week 15,UPCOMING,THU,12/11,Falcons,3-3,0,0.0,Buccaneers,5-2,0,0.0,,,0
2025,Week 15,UPCOMING,SUN,12/14,Browns,2-5,0,0.0,Bears,4-2,0,0.0,,,0
2025,Week 15,UPCOMING,SUN,12/14,Ravens,1-5,0,0.0,Bengals,3-4,0,0.0,,,0
2025,Week 15,UPCOMING,SUN,12/14,Cardinals,2-5,0,0.0,Texans,2-4,0,0.0,,,0
2025,Week 15,UPCOMING,SUN,12/14,Jets,0-7,0,0.0,Jaguars,4-3,0,0.0,,,0
2025,Week 15,UPCOMING,SUN,12/14,Chargers,4-3,0,0.0,Chiefs,4-3,0,0.0,,,0
2025,Week 15,UPCOMING,SUN,12/14,Bills,4-2,0,0.0,Patriots,5-2,0,0.0,,,0
2025,Week 15,UPCOMING,SUN,12/14,Commanders,3-4,0,0.0,Giants,2-5,0,0.0,,,0
2025,Week 15,UPCOMING,SUN,12/14,Raiders,2-5,0,0.0,Eagles,5-2,0,0.0,,,0
2025,Week 15,UPCOMING,SUN,12/14,Packers,4-1-1,0,0.0,Broncos,5-2,0,0.0,,,0
2025,Week 15,UPCOMING,SUN,12/14,Lions,5-2,0,0.0,Rams,5-2,0,0.0,,,0
2025,Week 15,UPCOMING,SUN,12/14,Panthers,4-3,0,0.0,Saints,1-6,0,0.0,,,0
2025,Week 15,UPCOMING,SUN,12/14,Colts,6-1,0,0.0,Seahawks,5-2,0,0.0,,,0
2025,Week 15,UPCOMING,SUN,12/14,Titans,1-6,0,0.0,49ers,5-2,0,0.0,,,0
2025,Week 15,UPCOMING,SUN,12/14,Vikings,3-3,0,0.0,Cowboys,3-3-1,0,0.0,,,0
2025,Week 15,UPCOMING,MON,12/15,Dolphins,1-6,0,0.0,Steelers,4-2,0,0.0,,,0
2025,Week 16,UPCOMING,THU,12/18,Rams,5-2,0,0.0,Seahawks,5-2,0,0.0,,,0
2025,Week 16,UPCOMING,SUN,12/21,Patriots,5-2,0,0.0,Ravens,1-5,0,0.0,,,0
2025,Week 16,UPCOMING,SUN,12/21,Buccaneers,5-2,0,0.0,Panthers,4-3,0,0.0,,,0
2025,Week 16,UPCOMING,SUN,12/21,Bills,4-2,0,0.0,Browns,2-5,0,0.0,,,0
2025,Week 16,UPCOMING,SUN,12/21,Chargers,4-3,0,0.0,Cowboys,3-3-1,0,0.0,,,0
2025,Week 16,UPCOMING,SUN,12/21,Jets,0-7,0,0.0,Saints,1-6,0,0.0,,,0
2025,Week 16,UPCOMING,SUN,12/21,Vikings,3-3,0,0.0,Giants,2-5,0,0.0,,,0
2025,Week 16,UPCOMING,SUN,12/21,Chiefs,4-3,0,0.0,Titans,1-6,0,0.0,,,0
2025,Week 16,UPCOMING,SUN,12/21,Falcons,3-3,0,0.0,Cardinals,2-5,0,0.0,,,0
2025,Week 16,UPCOMING,SUN,12/21,Jaguars,4-3,0,0.0,Broncos,5-2,0,0.0,,,0
2025,Week 16,UPCOMING,SUN,12/21,Steelers,4-2,0,0.0,Lions,5-2,0,0.0,,,0
2025,Week 16,UPCOMING,SUN,12/21,Raiders,2-5,0,0.0,Texans,2-4,0,0.0,,,0
2025,Week 16,UPCOMING,SUN,12/21,Bengals,3-4,0,0.0,Dolphins,1-6,0,0.0,,,0
2025,Week 16,UPCOMING,MON,12/22,49ers,5-2,0,0.0,Colts,6-1,0,0.0,,,0
2025,Week 16,UPCOMING,TBD,TBD,Packers,4-1-1,0,0.0,Bears,4-2,0,0.0,,,0
2025,Week 16,UPCOMING,TBD,TBD,Eagles,5-2,0,0.0,Commanders,3-4,0,0.0,,,0
2025,Week 17,UPCOMING,THU,12/25,Cowboys,3-3-1,0,0.0,Commanders,3-4,0,0.0,,,0
2025,Week 17,UPCOMING,THU,12/25,Lions,5-2,0,0.0,Vikings,3-3,0,0.0,,,0
2025,Week 17,UPCOMING,THU,12/25,Broncos,5-2,0,0.0,Chiefs,4-3,0,0.0,,,0
2025,Week 17,UPCOMING,SUN,12/28,Steelers,4-2,0,0.0,Browns,2-5,0,0.0,,,0
2025,Week 17,UPCOMING,SUN,12/28,Jaguars,4-3,0,0.0,Colts,6-1,0,0.0,,,0
2025,Week 17,UPCOMING,SUN,12/28,Buccaneers,5-2,0,0.0,Dolphins,1-6,0,0.0,,,0
2025,Week 17,UPCOMING,SUN,12/28,Patriots,5-2,0,0.0,Jets,0-7,0,0.0,,,0
2025,Week 17,UPCOMING,SUN,12/28,Saints,1-6,0,0.0,Titans,1-6,0,0.0,,,0
2025,Week 17,UPCOMING,SUN,12/28,Eagles,5-2,0,0.0,Bills,4-2,0,0.0,,,0
2025,Week 17,UPCOMING,SUN,12/28,Bears,4-2,0,0.0,49ers,5-2,0,0.0,,,0
2025,Week 17,UPCOMING,MON,12/29,Rams,5-2,0,0.0,Falcons,3-3,0,0.0,,,0
2025,Week 17,UPCOMING,TBD,TBD,Seahawks,5-2,0,0.0,Panthers,4-3,0,0.0,,,0
2025,Week 17,UPCOMING,TBD,TBD,Cardinals,2-5,0,0.0,Bengals,3-4,0,0.0,,,0
2025,Week 17,UPCOMING,TBD,TBD,Ravens,1-5,0,0.0,Packers,4-1-1,0,0.0,,,0
2025,Week 17,UPCOMING,TBD,TBD,Texans,2-4,0,0.0,Chargers,4-3,0,0.0,,,0
2025,Week 17,UPCOMING,TBD,TBD,Giants,2-5,0,0.0,Raiders,2-5,0,0.0,,,0
2025,Week 18,UPCOMING,TBD,TBD,Saints,1-6,0,0.0,Falcons,3-3,0,0.0,,,0
2025,Week 18,UPCOMING,TBD,TBD,Jets,0-7,0,0.0,Bills,4-2,0,0.0,,,0
2025,Week 18,UPCOMING,TBD,TBD,Lions,5-2,0,0.0,Bears,4-2,0,0.0,,,0
2025,Week 18,UPCOMING,TBD,TBD,Browns,2-5,0,0.0,Bengals,3-4,0,0.0,,,0
2025,Week 18,UPCOMING,TBD,TBD,Chargers,4-3,0,0.0,Broncos,5-2,0,0.0,,,0
2025,Week 18,UPCOMING,TBD,TBD,Colts,6-1,0,0.0,Texans,2-4,0,0.0,,,0
2025,Week 18,UPCOMING,TBD,TBD,Titans,1-6,0,0.0,Jaguars,4-3,0,0.0,,,0
2025,Week 18,UPCOMING,TBD,TBD,Cardinals,2-5,0,0.0,Rams,5-2,0,0.0,,,0
2025,Week 18,UPCOMING,TBD,TBD,Chiefs,4-3,0,0.0,Raiders,2-5,0,0.0,,,0
2025,Week 18,UPCOMING,TBD,TBD,Packers,4-1-1,0,0.0,Vikings,3-3,0,0.0,,,0
2025,Week 18,UPCOMING,TBD,TBD,Dolphins,1-6,0,0.0,Patriots,5-2,0,0.0,,,0
2025,Week 18,UPCOMING,TBD,TBD,Cowboys,3-3-1,0,0.0,Giants,2-5,0,0.0,,,0
2025,Week 18,UPCOMING,TBD,TBD,Commanders,3-4,0,0.0,Eagles,5-2,0,0.0,,,0
2025,Week 18,UPCOMING,TBD,TBD,Ravens,1-5,0,0.0,Steelers,4-2,0,0.0,,,0
2025,Week 18,UPCOMING,TBD,TBD,Seahawks,5-2,0,0.0,49ers,5-2,0,0.0,,,0
2025,Week 18,UPCOMING,TBD,TBD,Panthers,4-3,0,0.0,Buccaneers,5-2,0,0.0,,,0
