Season,Week,Day,Date,AwayTeam,HomeTeam,Quarter,DriveNumber,TeamWithPossession,IsScoringDrive,PlayNumberInDrive,IsScoringPlay,PlayOutcome,PlayStart,PlayTimeFormation,PlayDescription
2019,Week 4,THU,09/26,Eagles,Packers,1st Quarter,1,Philadelphia Eagles,0,1,0,Kickoff from GB 35,,Kickoff,"— M.Crosby kicks 65 yards from GB 35 to end zone, Touchback."
2019,Week 4,THU,09/26,Eagles,Packers,1st Quarter,1,Philadelphia Eagles,0,2,0,4 Yard Run,1st & 10 at PHI 25,15:00 1st Shotgun,— M.Sanders up the middle to PHI 29 for 4 yards (B.Martinez).
2019,Week 4,THU,09/26,Eagles,Packers,1st Quarter,1,Philadelphia Eagles,0,3,0,19 Yard Run,2nd & 6 at PHI 29,14:23 1st Shotgun,— J.Howard right tackle pushed ob at PHI 48 for 19 yards (W.Redmond).
2019,Week 4,THU,09/26,Eagles,Packers,1st Quarter,1,Philadelphia Eagles,0,4,0,Pass Incomplete,1st & 10 at PHI 48,13:49 1st Shotgun,— C.Wentz pass incomplete short left to N.Agholor.
2019,Week 4,THU,09/26,Eagles,Packers,1st Quarter,1,Philadelphia Eagles,0,5,0,0 Yard Pass,2nd & 10 at PHI 48,13:46 1st Shotgun,— C.Wentz pass short right to J.Howard to PHI 48 for no gain (A.Amos) [P.Smith].
2019,Week 4,THU,09/26,Eagles,Packers,1st Quarter,1,Philadelphia Eagles,0,6,0,Pass Incomplete,3rd & 10 at PHI 48,"13:02 1st No Huddle, Shotgun",— C.Wentz pass incomplete short right to Z.Ertz.
2019,Week 4,THU,09/26,Eagles,Packers,1st Quarter,1,Philadelphia Eagles,0,7,0,Punt,4th & 10 at PHI 48,12:58 1st,"— C.Johnston punts 41 yards to GB 11, Center-R.Lovato. D.Shepherd to GB 11 for no gain (R.Ford)."
2019,Week 4,THU,09/26,Eagles,Packers,1st Quarter,2,Green Bay Packers,1,1,0,15 Yard Pass,1st & 10 at GB 11,12:49 1st Shotgun,"— A.Rodgers pass short left to J.Williams to GB 11 for no gain (N.Bradham). GB-J.Williams was injured during the play. He is Out. PENALTY on PHI-D.Barnett, Unnecessary Roughness, 15 yards, enforced at GB 11."
2019,Week 4,THU,09/26,Eagles,Packers,1st Quarter,2,Green Bay Packers,1,2,0,9 Yard Pass,1st & 10 at GB 26,12:25 1st Shotgun,— A.Rodgers pass short middle to D.Adams to GB 35 for 9 yards (M.Jenkins).
2019,Week 4,THU,09/26,Eagles,Packers,1st Quarter,2,Green Bay Packers,1,3,0,58 Yard Pass,2nd & 1 at GB 35,11:52 1st Shotgun,— A.Rodgers pass deep right to D.Adams to PHI 7 for 58 yards (S.Jones).
2019,Week 4,THU,09/26,Eagles,Packers,1st Quarter,2,Green Bay Packers,1,4,0,Timeout,,11:11 1st,— Timeout #1 by GB at 11:11.
2019,Week 4,THU,09/26,Eagles,Packers,1st Quarter,2,Green Bay Packers,1,5,0,4 Yard Pass,1st & 7 at PHI 7,11:11 1st Shotgun,— A.Rodgers pass short middle to D.Adams to PHI 3 for 4 yards (R.McLeod).
2019,Week 4,THU,09/26,Eagles,Packers,1st Quarter,2,Green Bay Packers,1,6,1,Touchdown,2nd & 3 at PHI 3,10:36 1st,"— A.Jones right tackle for 3 yards, TOUCHDOWN."
2019,Week 4,THU,09/26,Eagles,Packers,1st Quarter,2,Green Bay Packers,1,7,1,Extra Point,,10:31 1st,"— M.Crosby extra point is GOOD, Center-H.Bradley, Holder-J.Scott."
2019,Week 4,THU,09/26,Eagles,Packers,1st Quarter,3,Philadelphia Eagles,0,1,0,Kickoff from GB 35,,Kickoff,"— M.Crosby kicks 65 yards from GB 35 to end zone, Touchback."
2019,Week 4,THU,09/26,Eagles,Packers,1st Quarter,3,Philadelphia Eagles,0,2,0,4 Yard Run,1st & 10 at PHI 25,10:31 1st Shotgun,— J.Howard up the middle to PHI 29 for 4 yards (D.Lowry; K.Clark).
2019,Week 4,THU,09/26,Eagles,Packers,1st Quarter,3,Philadelphia Eagles,0,3,0,3 Yard Run,2nd & 6 at PHI 29,09:50 1st,— J.Howard right end to PHI 32 for 3 yards (K.Clark).
2019,Week 4,THU,09/26,Eagles,Packers,1st Quarter,3,Philadelphia Eagles,0,4,0,14 Yard Pass,3rd & 3 at PHI 32,09:14 1st Shotgun,— C.Wentz pass short left to Z.Ertz to PHI 46 for 14 yards (A.Amos).
2019,Week 4,THU,09/26,Eagles,Packers,1st Quarter,3,Philadelphia Eagles,0,5,0,1 Yard Run,1st & 10 at PHI 46,08:35 1st Shotgun,— J.Howard left tackle to PHI 47 for 1 yard (D.Lowry).
2019,Week 4,THU,09/26,Eagles,Packers,1st Quarter,3,Philadelphia Eagles,0,6,0,Pass Incomplete,2nd & 9 at PHI 47,07:54 1st Shotgun,— C.Wentz pass incomplete deep right to M.Hollins.
2019,Week 4,THU,09/26,Eagles,Packers,1st Quarter,3,Philadelphia Eagles,0,7,0,6 Yard Run,3rd & 9 at PHI 47,"07:48 1st No Huddle, Shotgun",— C.Wentz scrambles left end to GB 47 for 6 yards (A.Amos).
2019,Week 4,THU,09/26,Eagles,Packers,1st Quarter,3,Philadelphia Eagles,0,8,0,Punt,4th & 3 at GB 47,07:08 1st,"— C.Johnston punts 37 yards to GB 10, Center-R.Lovato, fair catch by D.Shepherd."
2019,Week 4,THU,09/26,Eagles,Packers,2nd Quarter,1,Green Bay Packers,1,1,0,7 Yard Run,1st & 10 at GB 10,07:02 1st,— A.Jones left end to GB 17 for 7 yards (F.Cox).
2019,Week 4,THU,09/26,Eagles,Packers,2nd Quarter,1,Green Bay Packers,1,2,0,-5 Yard Penalty,2nd & 3 at GB 17,06:24 1st,"— PENALTY on GB-B.Bulaga, False Start, 5 yards, enforced at GB 17 - No Play."
2019,Week 4,THU,09/26,Eagles,Packers,2nd Quarter,1,Green Bay Packers,1,3,0,12 Yard Pass,2nd & 8 at GB 12,06:07 1st Shotgun,— A.Rodgers pass short left to D.Adams to GB 24 for 12 yards (R.McLeod).
2019,Week 4,THU,09/26,Eagles,Packers,2nd Quarter,1,Green Bay Packers,1,4,0,-10 Yard Penalty,1st & 10 at GB 24,05:26 1st,"— A.Rodgers pass incomplete deep left to J.Graham [V.Curry]. PENALTY on GB-M.Valdes-Scantling, Offensive Pass Interference, 10 yards, enforced at GB 24 - No Play."
2019,Week 4,THU,09/26,Eagles,Packers,2nd Quarter,1,Green Bay Packers,1,5,0,19 Yard Pass,1st & 20 at GB 14,05:20 1st,"— A.Rodgers pass short right to M.Valdes-Scantling to GB 18 for 4 yards (S.Jones). PENALTY on PHI-Z.Brown, Face Mask (15 Yards), 15 yards, enforced at GB 18."
2019,Week 4,THU,09/26,Eagles,Packers,2nd Quarter,1,Green Bay Packers,1,6,0,11 Yard Pass,1st & 10 at GB 33,04:55 1st Shotgun,— A.Rodgers pass short right to D.Adams pushed ob at GB 44 for 11 yards (A.Maddox).
2019,Week 4,THU,09/26,Eagles,Packers,2nd Quarter,1,Green Bay Packers,1,7,0,7 Yard Run,1st & 10 at GB 44,04:20 1st,— G.Allison left end to PHI 49 for 7 yards (N.Bradham; R.Douglas).
2019,Week 4,THU,09/26,Eagles,Packers,2nd Quarter,1,Green Bay Packers,1,8,0,10 Yard Pass,2nd & 3 at PHI 49,03:43 1st,— A.Rodgers pass short right to M.Lewis to PHI 39 for 10 yards (H.Ridgeway).
2019,Week 4,THU,09/26,Eagles,Packers,2nd Quarter,1,Green Bay Packers,1,9,0,0 Yard Run,1st & 10 at PHI 39,02:56 1st,— A.Jones left guard to PHI 39 for no gain (R.Douglas; M.Jenkins).
2019,Week 4,THU,09/26,Eagles,Packers,2nd Quarter,1,Green Bay Packers,1,10,0,13 Yard Pass,2nd & 10 at PHI 39,02:13 1st Shotgun,— A.Rodgers pass short right to D.Adams ran ob at PHI 26 for 13 yards (A.Maddox).
2019,Week 4,THU,09/26,Eagles,Packers,2nd Quarter,1,Green Bay Packers,1,11,0,0 Yard Run,1st & 10 at PHI 26,01:41 1st,— A.Jones left end pushed ob at PHI 26 for no gain (R.Douglas).
2019,Week 4,THU,09/26,Eagles,Packers,2nd Quarter,1,Green Bay Packers,1,12,0,3 Yard Run,2nd & 10 at PHI 26,01:05 1st Shotgun,— A.Rodgers scrambles left end to PHI 23 for 3 yards (M.Jenkins).
2019,Week 4,THU,09/26,Eagles,Packers,2nd Quarter,1,Green Bay Packers,1,13,0,8 Yard Pass,3rd & 7 at PHI 23,00:17 1st Shotgun,— A.Rodgers pass short middle to J.Graham to PHI 15 for 8 yards (R.Douglas).
2019,Week 4,THU,09/26,Eagles,Packers,2nd Quarter,1,Green Bay Packers,1,14,0,3 Yard Run,1st & 10 at PHI 15,15:00 2nd Shotgun,— D.Vitale up the middle to PHI 12 for 3 yards (A.Sendejo; A.Maddox).
2019,Week 4,THU,09/26,Eagles,Packers,2nd Quarter,1,Green Bay Packers,1,15,0,Pass Incomplete,2nd & 7 at PHI 12,14:15 2nd Shotgun,— A.Rodgers pass incomplete short middle to M.Valdes-Scantling.
2019,Week 4,THU,09/26,Eagles,Packers,2nd Quarter,1,Green Bay Packers,1,16,0,Pass Incomplete,3rd & 7 at PHI 12,14:08 2nd Shotgun,— A.Rodgers pass incomplete short middle to D.Adams (A.Sendejo).
2019,Week 4,THU,09/26,Eagles,Packers,2nd Quarter,1,Green Bay Packers,1,17,1,Field Goal,4th & 7 at PHI 12,14:04 2nd,"— M.Crosby 30 yard field goal is GOOD, Center-H.Bradley, Holder-J.Scott."
2019,Week 4,THU,09/26,Eagles,Packers,2nd Quarter,2,Philadelphia Eagles,1,1,0,Kickoff from GB 35,,Kickoff,— M.Crosby kicks 66 yards from GB 35 to PHI -1. M.Sanders to GB 34 for 67 yards (M.Crosby).
2019,Week 4,THU,09/26,Eagles,Packers,2nd Quarter,2,Philadelphia Eagles,1,2,0,5 Yard Pass,1st & 10 at GB 34,13:51 2nd Shotgun,— C.Wentz pass short right to Z.Ertz to GB 29 for 5 yards (A.Amos).
2019,Week 4,THU,09/26,Eagles,Packers,2nd Quarter,2,Philadelphia Eagles,1,3,0,10 Yard Pass,2nd & 5 at GB 29,"13:18 2nd No Huddle, Shotgun",— C.Wentz pass short middle to Z.Ertz to GB 19 for 10 yards (A.Amos).
2019,Week 4,THU,09/26,Eagles,Packers,2nd Quarter,2,Philadelphia Eagles,1,4,0,Pass Incomplete,1st & 10 at GB 19,12:38 2nd Shotgun,— C.Wentz pass incomplete deep right to A.Jeffery.
2019,Week 4,THU,09/26,Eagles,Packers,2nd Quarter,2,Philadelphia Eagles,1,5,0,13 Yard Pass,2nd & 10 at GB 19,12:33 2nd Shotgun,— C.Wentz pass short right to D.Goedert to GB 6 for 13 yards (B.Martinez).
2019,Week 4,THU,09/26,Eagles,Packers,2nd Quarter,2,Philadelphia Eagles,1,6,1,Touchdown,1st & 6 at GB 6,11:52 2nd Shotgun,"— C.Wentz pass short middle to A.Jeffery for 6 yards, TOUCHDOWN NULLIFIED by Penalty. PENALTY on PHI-Z.Ertz, Offensive Pass Interference, 10 yards, enforced at GB 6 - No Play. The Replay Official reviewed the offensive pass interference ruling, and the play was REVERSED. (Shotgun) C.Wentz pass short middle to A.Jeffery for 6 yards, TOUCHDOWN."
2019,Week 4,THU,09/26,Eagles,Packers,2nd Quarter,2,Philadelphia Eagles,1,7,1,Extra Point,,11:48 2nd,"— J.Elliott extra point is GOOD, Center-R.Lovato, Holder-C.Johnston."
2019,Week 4,THU,09/26,Eagles,Packers,2nd Quarter,3,Green Bay Packers,1,1,0,Kickoff from PHI 35,,Kickoff,— J.Elliott kicks 66 yards from PHI 35 to GB -1. T.Smith to GB 24 for 25 yards (C.James).
2019,Week 4,THU,09/26,Eagles,Packers,2nd Quarter,3,Green Bay Packers,1,2,0,-2 Yard Run,1st & 10 at GB 24,11:43 2nd,— A.Jones left end to GB 22 for -2 yards (A.Sendejo).
2019,Week 4,THU,09/26,Eagles,Packers,2nd Quarter,3,Green Bay Packers,1,3,0,2 Yard Pass,2nd & 12 at GB 22,10:59 2nd Shotgun,— A.Rodgers pass short right to G.Allison to GB 24 for 2 yards (R.McLeod).
2019,Week 4,THU,09/26,Eagles,Packers,2nd Quarter,3,Green Bay Packers,1,4,0,55 Yard Pass,3rd & 10 at GB 24,10:20 2nd Shotgun,"— A.Rodgers pass short right to D.Adams to PHI 36 for 40 yards (R.McLeod; D.Barnett). Penalty on PHI-K.Grugier-Hill, Defensive Offside, declined. PENALTY on PHI-R.McLeod, Face Mask (15 Yards), 15 yards, enforced at PHI 36."
2019,Week 4,THU,09/26,Eagles,Packers,2nd Quarter,3,Green Bay Packers,1,5,0,4 Yard Run,1st & 10 at PHI 21,09:56 2nd Shotgun,— A.Jones right guard to PHI 17 for 4 yards (D.Barnett).
2019,Week 4,THU,09/26,Eagles,Packers,2nd Quarter,3,Green Bay Packers,1,6,0,4 Yard Run,2nd & 6 at PHI 17,09:17 2nd,— A.Jones up the middle to PHI 13 for 4 yards (N.Gerry).
2019,Week 4,THU,09/26,Eagles,Packers,2nd Quarter,3,Green Bay Packers,1,7,0,Pass Incomplete,3rd & 2 at PHI 13,08:33 2nd Shotgun,— A.Rodgers pass incomplete short left to D.Adams.
2019,Week 4,THU,09/26,Eagles,Packers,2nd Quarter,3,Green Bay Packers,1,8,1,Field Goal,4th & 2 at PHI 13,08:28 2nd,"— M.Crosby 31 yard field goal is GOOD, Center-H.Bradley, Holder-J.Scott."
2019,Week 4,THU,09/26,Eagles,Packers,2nd Quarter,4,Philadelphia Eagles,1,1,0,Kickoff from GB 35,,Kickoff,"— M.Crosby kicks 62 yards from GB 35 to PHI 3, out of bounds."
2019,Week 4,THU,09/26,Eagles,Packers,2nd Quarter,4,Philadelphia Eagles,1,2,0,6 Yard Run,1st & 10 at PHI 40,08:24 2nd,— M.Sanders right tackle to PHI 46 for 6 yards (A.Amos; B.Martinez).
2019,Week 4,THU,09/26,Eagles,Packers,2nd Quarter,4,Philadelphia Eagles,1,3,0,3 Yard Run,2nd & 4 at PHI 46,07:46 2nd Shotgun,— M.Sanders right end to PHI 49 for 3 yards (W.Redmond; R.Gary).
2019,Week 4,THU,09/26,Eagles,Packers,2nd Quarter,4,Philadelphia Eagles,1,4,0,2 Yard Run,3rd & 1 at PHI 49,07:00 2nd,"— C.Wentz right guard to GB 49 for 2 yards (B.Martinez). FUMBLES (B.Martinez), RECOVERED by GB-J.Alexander at GB 48. J.Alexander for 52 yards, TOUCHDOWN. The Replay Official reviewed the fumble ruling, and the play was REVERSED. C.Wentz right guard to GB 49 for 2 yards (B.Martinez)."
2019,Week 4,THU,09/26,Eagles,Packers,2nd Quarter,4,Philadelphia Eagles,1,5,0,15 Yard Penalty,1st & 10 at GB 49,06:42 2nd Shotgun,"— C.Wentz pass incomplete deep middle to D.Goedert [K.Clark]. PENALTY on GB-K.Clark, Roughing the Passer, 15 yards, enforced at GB 49 - No Play."
2019,Week 4,THU,09/26,Eagles,Packers,2nd Quarter,4,Philadelphia Eagles,1,6,0,8 Yard Run,1st & 10 at GB 34,06:32 2nd Shotgun,— M.Sanders right end to GB 26 for 8 yards (A.Amos; P.Smith).
2019,Week 4,THU,09/26,Eagles,Packers,2nd Quarter,4,Philadelphia Eagles,1,7,0,0 Yard Run,2nd & 2 at GB 26,"06:05 2nd No Huddle, Shotgun",— M.Sanders right end to GB 26 for no gain (B.Martinez).
2019,Week 4,THU,09/26,Eagles,Packers,2nd Quarter,4,Philadelphia Eagles,1,8,0,12 Yard Pass,3rd & 2 at GB 26,"05:24 2nd No Huddle, Shotgun",— C.Wentz pass short right to Z.Ertz to GB 14 for 12 yards (W.Redmond).
2019,Week 4,THU,09/26,Eagles,Packers,2nd Quarter,4,Philadelphia Eagles,1,9,0,5 Yard Run,1st & 10 at GB 14,04:43 2nd Shotgun,— C.Wentz scrambles left end to GB 9 for 5 yards (W.Redmond).
2019,Week 4,THU,09/26,Eagles,Packers,2nd Quarter,4,Philadelphia Eagles,1,10,0,4 Yard Run,2nd & 5 at GB 9,04:00 2nd,— M.Sanders left guard to GB 5 for 4 yards (B.Martinez; W.Redmond).
2019,Week 4,THU,09/26,Eagles,Packers,2nd Quarter,4,Philadelphia Eagles,1,11,0,2 Yard Run,3rd & 1 at GB 5,03:33 2nd No Huddle,— C.Wentz up the middle to GB 3 for 2 yards (B.Martinez).
2019,Week 4,THU,09/26,Eagles,Packers,2nd Quarter,4,Philadelphia Eagles,1,12,0,Pass Incomplete,1st & 3 at GB 3,02:51 2nd Shotgun,— C.Wentz pass incomplete short right to A.Jeffery.
2019,Week 4,THU,09/26,Eagles,Packers,2nd Quarter,4,Philadelphia Eagles,1,13,1,Touchdown,2nd & 3 at GB 3,02:48 2nd Shotgun,"— C.Wentz pass short middle to D.Goedert for 3 yards, TOUCHDOWN."
2019,Week 4,THU,09/26,Eagles,Packers,2nd Quarter,4,Philadelphia Eagles,1,14,1,Extra Point,,02:45 2nd,"— J.Elliott extra point is GOOD, Center-R.Lovato, Holder-C.Johnston."
2019,Week 4,THU,09/26,Eagles,Packers,2nd Quarter,5,Green Bay Packers,0,1,0,Kickoff from PHI 35,,Kickoff,"— J.Elliott kicks 65 yards from PHI 35 to end zone, Touchback."
2019,Week 4,THU,09/26,Eagles,Packers,2nd Quarter,5,Green Bay Packers,0,2,0,-5 Yard Penalty,1st & 10 at GB 25,02:45 2nd,"— PENALTY on GB-D.Bakhtiari, False Start, 5 yards, enforced at GB 25 - No Play."
2019,Week 4,THU,09/26,Eagles,Packers,2nd Quarter,5,Green Bay Packers,0,3,0,9 Yard Pass,1st & 15 at GB 20,02:45 2nd Shotgun,— A.Rodgers pass short middle to M.Lewis to GB 29 for 9 yards (N.Bradham; Z.Brown).
2019,Week 4,THU,09/26,Eagles,Packers,2nd Quarter,5,Green Bay Packers,0,4,0,Fumble,2nd & 6 at GB 29,02:00 2nd,"— A.Rodgers sacked at GB 22 for -7 yards (D.Barnett). FUMBLES (D.Barnett) [D.Barnett], RECOVERED by PHI-B.Graham at GB 21. B.Graham to GB 17 for 4 yards (M.Lewis)."
2019,Week 4,THU,09/26,Eagles,Packers,2nd Quarter,6,Philadelphia Eagles,1,1,0,3 Yard Run,1st & 10 at GB 17,01:53 2nd Shotgun,— J.Howard right tackle to GB 14 for 3 yards (D.Lowry; K.Clark).
2019,Week 4,THU,09/26,Eagles,Packers,2nd Quarter,6,Philadelphia Eagles,1,2,0,10 Yard Run,2nd & 7 at GB 14,01:19 2nd Shotgun,— J.Howard left tackle to GB 4 for 10 yards (T.Williams; W.Redmond).
2019,Week 4,THU,09/26,Eagles,Packers,2nd Quarter,6,Philadelphia Eagles,1,3,0,Timeout,,01:09 2nd,— Timeout #2 by GB at 01:09.
2019,Week 4,THU,09/26,Eagles,Packers,2nd Quarter,6,Philadelphia Eagles,1,4,0,3 Yard Run,1st & 4 at GB 4,01:09 2nd Shotgun,— J.Howard left guard to GB 1 for 3 yards (D.Lowry).
2019,Week 4,THU,09/26,Eagles,Packers,2nd Quarter,6,Philadelphia Eagles,1,5,0,Timeout,,01:02 2nd,— Timeout #3 by GB at 01:02.
2019,Week 4,THU,09/26,Eagles,Packers,2nd Quarter,6,Philadelphia Eagles,1,6,1,Touchdown,2nd & 1 at GB 1,01:02 2nd Shotgun,"— J.Howard left guard for 1 yard, TOUCHDOWN."
2019,Week 4,THU,09/26,Eagles,Packers,2nd Quarter,6,Philadelphia Eagles,1,7,1,Extra Point,,00:59 2nd,"— J.Elliott extra point is GOOD, Center-R.Lovato, Holder-C.Johnston."
2019,Week 4,THU,09/26,Eagles,Packers,2nd Quarter,7,Green Bay Packers,1,1,0,Kickoff from PHI 35,,Kickoff,"— J.Elliott kicks 65 yards from PHI 35 to end zone, Touchback. PENALTY on PHI-J.Sweat, Illegal Formation, 5 yards, enforced at GB 25."
2019,Week 4,THU,09/26,Eagles,Packers,2nd Quarter,7,Green Bay Packers,1,2,0,11 Yard Pass,1st & 10 at GB 30,00:59 2nd Shotgun,— A.Rodgers pass short right to D.Adams ran ob at GB 41 for 11 yards (A.Maddox).
2019,Week 4,THU,09/26,Eagles,Packers,2nd Quarter,7,Green Bay Packers,1,3,0,Pass Incomplete,1st & 10 at GB 41,00:55 2nd Shotgun,— A.Rodgers pass incomplete short right to J.Graham.
2019,Week 4,THU,09/26,Eagles,Packers,2nd Quarter,7,Green Bay Packers,1,4,0,5 Yard Penalty,2nd & 10 at GB 41,00:49 2nd Shotgun,"— A.Rodgers pass short right to A.Jones to GB 43 for 2 yards (A.Maddox). PENALTY on PHI-D.Barnett, Illegal Use of Hands, 5 yards, enforced at GB 41 - No Play."
2019,Week 4,THU,09/26,Eagles,Packers,2nd Quarter,7,Green Bay Packers,1,5,0,4 Yard Run,1st & 10 at GB 46,00:44 2nd Shotgun,— A.Rodgers scrambles left end ran ob at 50 for 4 yards (D.Barnett).
2019,Week 4,THU,09/26,Eagles,Packers,2nd Quarter,7,Green Bay Packers,1,6,0,Pass Incomplete,2nd & 6 at 50,00:36 2nd Shotgun,— A.Rodgers pass incomplete short left to A.Jones.
2019,Week 4,THU,09/26,Eagles,Packers,2nd Quarter,7,Green Bay Packers,1,7,0,31 Yard Pass,3rd & 6 at 50,00:31 2nd Shotgun,— A.Rodgers pass deep middle to G.Allison to PHI 19 for 31 yards (J.Cyprien).
2019,Week 4,THU,09/26,Eagles,Packers,2nd Quarter,7,Green Bay Packers,1,8,0,Pass Incomplete,1st & 10 at PHI 19,00:15 2nd,— A.Rodgers spiked the ball to stop the clock.
2019,Week 4,THU,09/26,Eagles,Packers,2nd Quarter,7,Green Bay Packers,1,9,1,Touchdown,2nd & 10 at PHI 19,00:14 2nd,"— A.Rodgers pass deep middle to G.Allison for 19 yards, TOUCHDOWN."
