Season,Week,Day,Date,AwayTeam,HomeTeam,Quarter,DriveNumber,TeamWithPossession,IsScoringDrive,PlayNumberInDrive,IsScoringPlay,PlayOutcome,PlayStart,PlayTimeFormation,PlayDescription
2019,Week 3,THU,09/19,Titans,Jaguars,1st Quarter,1,Jacksonville Jaguars,0,1,0,Kickoff from TEN 35,,Kickoff,"— C.Santos kicks 65 yards from TEN 35 to end zone, Touchback."
2019,Week 3,THU,09/19,Titans,Jaguars,1st Quarter,1,Jacksonville Jaguars,0,2,0,-10 Yard Penalty,1st & 10 at JAC 25,15:00 1st,"— L.Fournette up the middle to JAC 34 for 9 yards (K.Byard). PENALTY on JAC-C.Robinson, Offensive Holding, 10 yards, enforced at JAC 25 - No Play."
2019,Week 3,THU,09/19,Titans,Jaguars,1st Quarter,1,Jacksonville Jaguars,0,3,0,4 Yard Run,1st & 20 at JAC 15,14:35 1st Shotgun,— G.Minshew scrambles up the middle to JAC 19 for 4 yards (J.Brown).
2019,Week 3,THU,09/19,Titans,Jaguars,1st Quarter,1,Jacksonville Jaguars,0,4,0,15 Yard Pass,2nd & 16 at JAC 19,13:50 1st Shotgun,— G.Minshew pass short right to C.Conley pushed ob at JAC 34 for 15 yards (A.Jackson).
2019,Week 3,THU,09/19,Titans,Jaguars,1st Quarter,1,Jacksonville Jaguars,0,5,0,Pass Incomplete,3rd & 1 at JAC 34,13:25 1st Shotgun,— G.Minshew pass incomplete short right to J.O'Shaughnessy.
2019,Week 3,THU,09/19,Titans,Jaguars,1st Quarter,1,Jacksonville Jaguars,0,6,0,Fumble,4th & 1 at JAC 34,13:22 1st,"— L.Cooke punts 50 yards to TEN 16, Center-M.Orzech. A.Jackson MUFFS catch, touched at TEN 16, RECOVERED by JAC-L.Jacobs at TEN 7. L.Jacobs to TEN 7 for no gain (J.Brown). Penalty on TEN-M.Butler, Offensive Holding, declined."
2019,Week 3,THU,09/19,Titans,Jaguars,1st Quarter,2,Jacksonville Jaguars,1,1,1,Touchdown,1st & 7 at TEN 7,13:07 1st,"— G.Minshew pass short left to J.O'Shaughnessy for 7 yards, TOUCHDOWN."
2019,Week 3,THU,09/19,Titans,Jaguars,1st Quarter,2,Jacksonville Jaguars,1,2,1,Extra Point,,13:02 1st,"— J.Lambo extra point is GOOD, Center-M.Orzech, Holder-L.Cooke."
2019,Week 3,THU,09/19,Titans,Jaguars,1st Quarter,3,Tennessee Titans,0,1,0,Kickoff from JAC 35,,Kickoff,"— J.Lambo kicks 65 yards from JAC 35 to end zone, Touchback."
2019,Week 3,THU,09/19,Titans,Jaguars,1st Quarter,3,Tennessee Titans,0,2,0,2 Yard Run,1st & 10 at TEN 25,13:02 1st,— D.Henry right end to TEN 27 for 2 yards (Y.Ngakoue).
2019,Week 3,THU,09/19,Titans,Jaguars,1st Quarter,3,Tennessee Titans,0,3,0,8 Yard Run,2nd & 8 at TEN 27,12:24 1st,— D.Henry up the middle to TEN 35 for 8 yards (R.Harrison; Q.Williams).
2019,Week 3,THU,09/19,Titans,Jaguars,1st Quarter,3,Tennessee Titans,0,4,0,Pass Incomplete,1st & 10 at TEN 35,11:37 1st Shotgun,— M.Mariota pass incomplete short left to J.Smith [J.Allen].
2019,Week 3,THU,09/19,Titans,Jaguars,1st Quarter,3,Tennessee Titans,0,5,0,-10 Yard Penalty,2nd & 10 at TEN 35,11:31 1st,"— D.Henry up the middle to TEN 42 for 7 yards (C.Campbell). PENALTY on TEN-J.Douglas, Offensive Holding, 10 yards, enforced at TEN 35 - No Play."
2019,Week 3,THU,09/19,Titans,Jaguars,1st Quarter,3,Tennessee Titans,0,6,0,4 Yard Run,2nd & 20 at TEN 25,11:00 1st Shotgun,— D.Lewis up the middle to TEN 29 for 4 yards (D.Hayden).
