Season,Week,Day,Date,AwayTeam,HomeTeam,Quarter,DriveNumber,TeamWithPossession,IsScoringDrive,PlayNumberInDrive,IsScoringPlay,PlayOutcome,PlayStart,PlayTimeFormation,PlayDescription
2024,Week 7,THU,10/17,Broncos,Saints,1st Quarter,1,Denver Broncos,0,1,0,Kickoff from NO 35,,Kickoff,— B.Grupe kicks 61 yards from NO 35 to DEN 4. M.Mims ran ob at DEN 35 for 31 yards (B.Grupe).
2024,Week 7,THU,10/17,Broncos,Saints,1st Quarter,1,Denver Broncos,0,2,0,14 Yard Run,1st & 10 at DEN 35,14:54 1st Shotgun,— B.Nix scrambles up the middle to DEN 49 for 14 yards (J.Howden; T.Mathieu).
2024,Week 7,THU,10/17,Broncos,Saints,1st Quarter,1,Denver Broncos,0,3,0,2 Yard Pass,1st & 10 at DEN 49,14:11 1st,— B.Nix pass short right to T.Franklin to NO 49 for 2 yards (P.Adebo).
2024,Week 7,THU,10/17,Broncos,Saints,1st Quarter,1,Denver Broncos,0,4,0,8 Yard Run,2nd & 8 at NO 49,13:30 1st Shotgun,— B.Nix right end ran ob at NO 41 for 8 yards (P.Adebo).
2024,Week 7,THU,10/17,Broncos,Saints,1st Quarter,1,Denver Broncos,0,5,0,Pass Incomplete,1st & 10 at NO 41,12:52 1st Shotgun,— B.Nix pass incomplete deep left to L.Krull.
2024,Week 7,THU,10/17,Broncos,Saints,1st Quarter,1,Denver Broncos,0,6,0,Pass Incomplete,2nd & 10 at NO 41,12:47 1st,— B.Nix pass incomplete deep left to T.Franklin.
2024,Week 7,THU,10/17,Broncos,Saints,1st Quarter,1,Denver Broncos,0,7,0,Pass Incomplete,3rd & 10 at NO 41,"12:40 1st No Huddle, Shotgun",— B.Nix pass incomplete short middle to A.Trautman.
2024,Week 7,THU,10/17,Broncos,Saints,1st Quarter,1,Denver Broncos,0,8,0,Punt,4th & 10 at NO 41,12:36 1st,"— R.Dixon punts 33 yards to NO 8, Center-M.Fraboni, fair catch by J.Jackson."
2024,Week 7,THU,10/17,Broncos,Saints,1st Quarter,2,New Orleans Saints,0,1,0,32 Yard Pass,1st & 10 at NO 8,12:30 1st,— S.Rattler pass deep left to F.Moreau pushed ob at NO 40 for 32 yards (P.Locke).
2024,Week 7,THU,10/17,Broncos,Saints,1st Quarter,2,New Orleans Saints,0,2,0,1 Yard Run,1st & 10 at NO 40,12:01 1st,— A.Kamara right tackle to NO 41 for 1 yard (J.Franklin-Myers; D.Jones).
2024,Week 7,THU,10/17,Broncos,Saints,1st Quarter,2,New Orleans Saints,0,3,0,Pass Incomplete,2nd & 9 at NO 41,11:28 1st Shotgun,— S.Rattler pass incomplete deep right to M.Tipton (C.Barton).
2024,Week 7,THU,10/17,Broncos,Saints,1st Quarter,2,New Orleans Saints,0,4,0,7 Yard Pass,3rd & 9 at NO 41,11:21 1st Shotgun,— S.Rattler pass short left to C.Wilson to NO 48 for 7 yards (J.McMillian).
2024,Week 7,THU,10/17,Broncos,Saints,1st Quarter,2,New Orleans Saints,0,5,0,Punt,4th & 2 at NO 48,10:42 1st,"— M.Hayball punts 52 yards to end zone, Center-Z.Wood, Touchback."
2024,Week 7,THU,10/17,Broncos,Saints,1st Quarter,3,Denver Broncos,1,1,0,7 Yard Pass,1st & 10 at DEN 20,10:32 1st Shotgun,— B.Nix pass short left to M.Mims pushed ob at DEN 27 for 7 yards (M.Lattimore).
2024,Week 7,THU,10/17,Broncos,Saints,1st Quarter,3,Denver Broncos,1,2,0,6 Yard Run,2nd & 3 at DEN 27,09:59 1st,— A.Estime left tackle to DEN 33 for 6 yards (K.Boyd).
2024,Week 7,THU,10/17,Broncos,Saints,1st Quarter,3,Denver Broncos,1,3,0,20 Yard Pass,1st & 10 at DEN 33,09:19 1st Shotgun,— B.Nix pass short middle to D.Vele to NO 47 for 20 yards (A.Taylor).
2024,Week 7,THU,10/17,Broncos,Saints,1st Quarter,3,Denver Broncos,1,4,0,2 Yard Pass,1st & 10 at NO 47,08:42 1st,— B.Nix pass short right to T.Franklin to NO 45 for 2 yards (J.Howden).
2024,Week 7,THU,10/17,Broncos,Saints,1st Quarter,3,Denver Broncos,1,5,0,10 Yard Run,2nd & 8 at NO 45,08:00 1st,— J.Williams right guard to NO 35 for 10 yards (P.Adebo; A.Orji).
2024,Week 7,THU,10/17,Broncos,Saints,1st Quarter,3,Denver Broncos,1,6,0,6 Yard Pass,1st & 10 at NO 35,"07:35 1st No Huddle, Shotgun",— B.Nix pass short right to J.Williams to NO 29 for 6 yards (D.Davis).
2024,Week 7,THU,10/17,Broncos,Saints,1st Quarter,3,Denver Broncos,1,7,0,-2 Yard Run,2nd & 4 at NO 29,06:54 1st,— J.McLaughlin left tackle to NO 31 for -2 yards (A.Orji).
2024,Week 7,THU,10/17,Broncos,Saints,1st Quarter,3,Denver Broncos,1,8,0,3 Yard Run,3rd & 6 at NO 31,06:12 1st Shotgun,— B.Nix scrambles left end pushed ob at NO 28 for 3 yards (D.Davis).
2024,Week 7,THU,10/17,Broncos,Saints,1st Quarter,3,Denver Broncos,1,9,1,Field Goal,4th & 3 at NO 28,05:32 1st,"— W.Lutz 46 yard field goal is GOOD, Center-M.Fraboni, Holder-R.Dixon."
2024,Week 7,THU,10/17,Broncos,Saints,1st Quarter,4,New Orleans Saints,0,1,0,Kickoff from DEN 35,,Kickoff,— W.Lutz kicks 64 yards from DEN 35 to NO 1. J.Jackson to NO 32 for 31 yards (M.Burton; L.Bailey).
2024,Week 7,THU,10/17,Broncos,Saints,1st Quarter,4,New Orleans Saints,0,2,0,0 Yard Run,1st & 10 at NO 32,05:21 1st,— A.Kamara left end pushed ob at NO 32 for no gain (C.Barton).
2024,Week 7,THU,10/17,Broncos,Saints,1st Quarter,4,New Orleans Saints,0,3,0,8 Yard Run,2nd & 10 at NO 32,04:52 1st,— K.Miller right guard to NO 40 for 8 yards (B.Jones).
2024,Week 7,THU,10/17,Broncos,Saints,1st Quarter,4,New Orleans Saints,0,4,0,10 Yard Pass,3rd & 2 at NO 40,04:18 1st Shotgun,— S.Rattler pass short right to B.Means ran ob at 50 for 10 yards.
2024,Week 7,THU,10/17,Broncos,Saints,1st Quarter,4,New Orleans Saints,0,5,0,Fumble,1st & 10 at 50,03:46 1st Shotgun,"— S.Rattler sacked at NO 43 for -7 yards (C.Barton). FUMBLES (C.Barton) [C.Barton], touched at DEN 48, RECOVERED by DEN-K.Alexander at DEN 45."
2024,Week 7,THU,10/17,Broncos,Saints,2nd Quarter,1,Denver Broncos,1,1,0,5 Yard Pass,1st & 10 at DEN 45,03:39 1st Shotgun,— B.Nix pass short middle to L.Krull to 50 for 5 yards (A.Taylor).
2024,Week 7,THU,10/17,Broncos,Saints,2nd Quarter,1,Denver Broncos,1,2,0,4 Yard Run,2nd & 5 at 50,03:00 1st,"— M.Peart reported in as eligible. J.Williams right guard to NO 46 for 4 yards (P.Adebo, N.Shepherd)."
2024,Week 7,THU,10/17,Broncos,Saints,2nd Quarter,1,Denver Broncos,1,3,0,2 Yard Run,3rd & 1 at NO 46,02:19 1st,— B.Nix up the middle to NO 44 for 2 yards (B.Bresee).
2024,Week 7,THU,10/17,Broncos,Saints,2nd Quarter,1,Denver Broncos,1,4,0,7 Yard Run,1st & 10 at NO 44,01:37 1st Shotgun,— J.Williams right tackle to NO 37 for 7 yards (P.Adebo; C.Jordan).
2024,Week 7,THU,10/17,Broncos,Saints,2nd Quarter,1,Denver Broncos,1,5,0,3 Yard Run,2nd & 3 at NO 37,00:57 1st,— J.Williams left guard to NO 34 for 3 yards (J.Howden).
2024,Week 7,THU,10/17,Broncos,Saints,2nd Quarter,1,Denver Broncos,1,6,0,5 Yard Penalty,1st & 10 at NO 34,00:16 1st Shotgun,"— B.Nix pass incomplete short right to C.Sutton. PENALTY on NO-P.Adebo, Defensive Holding, 5 yards, enforced at NO 34 - No Play."
2024,Week 7,THU,10/17,Broncos,Saints,2nd Quarter,1,Denver Broncos,1,7,0,12 Yard Pass,1st & 10 at NO 29,00:12 1st Shotgun,"— B.Nix pass short left to T.Franklin to NO 17 for 12 yards (D.Davis, A.Taylor)."
2024,Week 7,THU,10/17,Broncos,Saints,2nd Quarter,1,Denver Broncos,1,8,0,5 Yard Run,1st & 10 at NO 17,15:00 2nd Shotgun,— J.Williams right end to NO 12 for 5 yards (D.Davis; P.Adebo).
2024,Week 7,THU,10/17,Broncos,Saints,2nd Quarter,1,Denver Broncos,1,9,0,4 Yard Run,2nd & 5 at NO 12,14:24 2nd Shotgun,— B.Nix scrambles left end to NO 8 for 4 yards (M.Lattimore).
2024,Week 7,THU,10/17,Broncos,Saints,2nd Quarter,1,Denver Broncos,1,10,0,Pass Incomplete,3rd & 1 at NO 8,13:36 2nd,— B.Nix pass incomplete short right to A.Trautman.
2024,Week 7,THU,10/17,Broncos,Saints,2nd Quarter,1,Denver Broncos,1,11,0,-5 Yard Penalty,4th & 1 at NO 8,13:27 2nd No Huddle,"— PENALTY on DEN, Delay of Game, 5 yards, enforced at NO 8 - No Play."
2024,Week 7,THU,10/17,Broncos,Saints,2nd Quarter,1,Denver Broncos,1,12,1,Field Goal,4th & 6 at NO 13,13:27 2nd,"— W.Lutz 32 yard field goal is GOOD, Center-M.Fraboni, Holder-R.Dixon."
2024,Week 7,THU,10/17,Broncos,Saints,2nd Quarter,2,New Orleans Saints,0,1,0,Kickoff from DEN 35,,Kickoff,— W.Lutz kicks 67 yards from DEN 35 to NO -2. J.Jackson to NO 30 for 32 yards (L.Bailey; N.Adkins).
2024,Week 7,THU,10/17,Broncos,Saints,2nd Quarter,2,New Orleans Saints,0,2,0,5 Yard Penalty,1st & 10 at NO 30,13:19 2nd Shotgun,"— S.Rattler to NO 22 for -8 yards. FUMBLES, and recovers at NO 22. S.Rattler sacked at NO 19 for -11 yards (J.Jackson). FUMBLES (J.Jackson) [J.Jackson], RECOVERED by DEN-C.Barton at NO 14. C.Barton for 14 yards, TOUCHDOWN NULLIFIED by Penalty. PENALTY on DEN-D.Jones, Defensive Offside, 5 yards, enforced at NO 30 - No Play."
2024,Week 7,THU,10/17,Broncos,Saints,2nd Quarter,2,New Orleans Saints,0,3,0,5 Yard Penalty,1st & 5 at NO 35,13:10 2nd,"— PENALTY on DEN-B.Browning, Neutral Zone Infraction, 5 yards, enforced at NO 35 - No Play."
2024,Week 7,THU,10/17,Broncos,Saints,2nd Quarter,2,New Orleans Saints,0,4,0,Pass Incomplete,1st & 10 at NO 40,13:10 2nd,— S.Rattler pass incomplete deep middle to M.Tipton.
2024,Week 7,THU,10/17,Broncos,Saints,2nd Quarter,2,New Orleans Saints,0,5,0,5 Yard Pass,2nd & 10 at NO 40,13:04 2nd Shotgun,— S.Rattler pass short right to J.Johnson to NO 45 for 5 yards (C.Barton).
2024,Week 7,THU,10/17,Broncos,Saints,2nd Quarter,2,New Orleans Saints,0,6,0,Pass Incomplete,3rd & 5 at NO 45,12:27 2nd Shotgun,— S.Rattler pass incomplete deep right to B.Means [Z.Allen].
2024,Week 7,THU,10/17,Broncos,Saints,2nd Quarter,2,New Orleans Saints,0,7,0,Punt,4th & 5 at NO 45,12:23 2nd,"— M.Hayball punts 42 yards to DEN 13, Center-Z.Wood. M.Mims to DEN 14 for 1 yard (R.Payton)."
2024,Week 7,THU,10/17,Broncos,Saints,2nd Quarter,3,Denver Broncos,1,1,0,4 Yard Run,1st & 10 at DEN 14,12:14 2nd,— B.Nix scrambles right end to DEN 18 for 4 yards (C.Jordan).
2024,Week 7,THU,10/17,Broncos,Saints,2nd Quarter,3,Denver Broncos,1,2,0,20 Yard Run,2nd & 6 at DEN 18,11:32 2nd,— J.Williams right guard to DEN 38 for 20 yards (T.Mathieu).
2024,Week 7,THU,10/17,Broncos,Saints,2nd Quarter,3,Denver Broncos,1,3,0,4 Yard Run,1st & 10 at DEN 38,10:47 2nd,— A.Estime left guard to DEN 42 for 4 yards (J.Ridgeway).
2024,Week 7,THU,10/17,Broncos,Saints,2nd Quarter,3,Denver Broncos,1,4,0,9 Yard Pass,2nd & 6 at DEN 42,10:08 2nd,— B.Nix pass short left to J.Williams to NO 49 for 9 yards (J.Howden). NO-P.Adebo was injured during the play.
2024,Week 7,THU,10/17,Broncos,Saints,2nd Quarter,3,Denver Broncos,1,5,0,30 Yard Pass,1st & 10 at NO 49,09:38 2nd Shotgun,— B.Nix pass deep right to T.Franklin pushed ob at NO 19 for 30 yards (K.McKinstry).
2024,Week 7,THU,10/17,Broncos,Saints,2nd Quarter,3,Denver Broncos,1,6,0,2 Yard Run,1st & 10 at NO 19,08:57 2nd,— J.Williams right guard to NO 17 for 2 yards (A.Taylor).
2024,Week 7,THU,10/17,Broncos,Saints,2nd Quarter,3,Denver Broncos,1,7,0,9 Yard Pass,2nd & 8 at NO 17,08:15 2nd Shotgun,— B.Nix pass short left to L.Humphrey to NO 8 for 9 yards (A.Taylor).
2024,Week 7,THU,10/17,Broncos,Saints,2nd Quarter,3,Denver Broncos,1,8,1,Touchdown,1st & 8 at NO 8,07:33 2nd Shotgun,"— J.Williams right guard for 8 yards, TOUCHDOWN."
2024,Week 7,THU,10/17,Broncos,Saints,2nd Quarter,3,Denver Broncos,1,9,1,Extra Point,,07:30 2nd,"— W.Lutz extra point is GOOD, Center-M.Fraboni, Holder-R.Dixon."
2024,Week 7,THU,10/17,Broncos,Saints,2nd Quarter,4,New Orleans Saints,1,1,0,Kickoff from DEN 35,,Kickoff,— W.Lutz kicks 66 yards from DEN 35 to NO -1. J.Jackson to NO 21 for 22 yards (J.Skinner; J.Strnad).
2024,Week 7,THU,10/17,Broncos,Saints,2nd Quarter,4,New Orleans Saints,1,2,0,6 Yard Run,1st & 10 at NO 21,07:26 2nd,— A.Kamara right guard to NO 27 for 6 yards (N.Bonitto; C.Barton).
