Season,Week,Day,Date,AwayTeam,HomeTeam,Quarter,DriveNumber,TeamWithPossession,IsScoringDrive,PlayNumberInDrive,IsScoringPlay,PlayOutcome,PlayStart,PlayTimeFormation,PlayDescription
2024,Week 14,THU,12/05,Packers,Lions,1st Quarter,1,Detroit Lions,1,1,0,Kickoff from GB 35,,Kickoff,"— B.McManus kicks 65 yards from GB 35 to end zone, Touchback to the DET 30."
2024,Week 14,THU,12/05,Packers,Lions,1st Quarter,1,Detroit Lions,1,2,0,2 Yard Run,1st & 10 at DET 30,15:00 1st,— D.Montgomery right tackle to DET 32 for 2 yards (K.Enagbare; T.Slaton).
2024,Week 14,THU,12/05,Packers,Lions,1st Quarter,1,Detroit Lions,1,3,0,6 Yard Pass,2nd & 8 at DET 32,14:28 1st,— J.Goff pass short right to A.St. Brown to DET 38 for 6 yards (I.McDuffie; K.Nixon).
2024,Week 14,THU,12/05,Packers,Lions,1st Quarter,1,Detroit Lions,1,4,0,4 Yard Pass,3rd & 2 at DET 38,13:55 1st Shotgun,— J.Goff pass short left to A.St. Brown ran ob at DET 42 for 4 yards (J.Bullard).
2024,Week 14,THU,12/05,Packers,Lions,1st Quarter,1,Detroit Lions,1,5,0,Pass Incomplete,1st & 10 at DET 42,13:23 1st,— J.Goff pass incomplete short middle to A.St. Brown (K.Nixon).
2024,Week 14,THU,12/05,Packers,Lions,1st Quarter,1,Detroit Lions,1,6,0,13 Yard Run,2nd & 10 at DET 42,13:19 1st,— D.Montgomery up the middle to GB 45 for 13 yards (X.McKinney).
2024,Week 14,THU,12/05,Packers,Lions,1st Quarter,1,Detroit Lions,1,7,0,7 Yard Pass,1st & 10 at GB 45,12:35 1st,— J.Goff pass short middle to J.Gibbs to GB 38 for 7 yards (K.Nixon; J.Bullard).
2024,Week 14,THU,12/05,Packers,Lions,1st Quarter,1,Detroit Lions,1,8,0,Pass Incomplete,2nd & 3 at GB 38,11:59 1st,— J.Goff pass incomplete short left to Ja.Williams (C.Valentine).
2024,Week 14,THU,12/05,Packers,Lions,1st Quarter,1,Detroit Lions,1,9,0,28 Yard Pass,3rd & 3 at GB 38,11:53 1st Shotgun,— J.Goff pass short middle to Ja.Williams pushed ob at GB 10 for 28 yards (X.McKinney).
2024,Week 14,THU,12/05,Packers,Lions,1st Quarter,1,Detroit Lions,1,10,0,-10 Yard Penalty,1st & 10 at GB 10,11:13 1st Shotgun,"— J.Gibbs left end pushed ob at GB 11 for -1 yards (E.Williams). PENALTY on DET-D.Skipper, Offensive Holding, 10 yards, enforced at GB 10 - No Play."
2024,Week 14,THU,12/05,Packers,Lions,1st Quarter,1,Detroit Lions,1,11,0,7 Yard Pass,1st & 20 at GB 20,10:57 1st,"— J.Goff pass short right to J.Gibbs to GB 13 for 7 yards (I.McDuffie, K.Nixon)."
2024,Week 14,THU,12/05,Packers,Lions,1st Quarter,1,Detroit Lions,1,12,0,6 Yard Pass,2nd & 13 at GB 13,10:21 1st Shotgun,— J.Goff pass short right to S.LaPorta to GB 7 for 6 yards (K.Nixon).
2024,Week 14,THU,12/05,Packers,Lions,1st Quarter,1,Detroit Lions,1,13,0,4 Yard Penalty,3rd & 7 at GB 7,09:48 1st Shotgun,"— J.Goff pass incomplete short middle to T.Patrick. PENALTY on GB-K.Nixon, Illegal Contact, 4 yards, enforced at GB 7 - No Play."
2024,Week 14,THU,12/05,Packers,Lions,1st Quarter,1,Detroit Lions,1,14,1,Touchdown,1st & 3 at GB 3,09:44 1st,"— D.Montgomery right end for 3 yards, TOUCHDOWN."
2024,Week 14,THU,12/05,Packers,Lions,1st Quarter,1,Detroit Lions,1,15,1,Extra Point,,09:41 1st,"— J.Bates extra point is GOOD, Center-H.Hatten, Holder-J.Fox."
2024,Week 14,THU,12/05,Packers,Lions,1st Quarter,2,Green Bay Packers,0,1,0,Kickoff from DET 35,,Kickoff,"— J.Bates kicks 65 yards from DET 35 to end zone, Touchback to the GB 30."
2024,Week 14,THU,12/05,Packers,Lions,1st Quarter,2,Green Bay Packers,0,2,0,-7 Yard Sack,1st & 10 at GB 30,09:41 1st,— J.Love sacked at GB 23 for -7 yards (Z.Smith).
2024,Week 14,THU,12/05,Packers,Lions,1st Quarter,2,Green Bay Packers,0,3,0,8 Yard Run,2nd & 17 at GB 23,08:57 1st,— J.Love scrambles right tackle to GB 31 for 8 yards (J.Campbell).
2024,Week 14,THU,12/05,Packers,Lions,1st Quarter,2,Green Bay Packers,0,4,0,14 Yard Penalty,3rd & 9 at GB 31,08:13 1st Shotgun,"— J.Love pass incomplete deep right to J.Reed [Z.Smith]. PENALTY on DET-B.Branch, Defensive Pass Interference, 14 yards, enforced at GB 31 - No Play."
2024,Week 14,THU,12/05,Packers,Lions,1st Quarter,2,Green Bay Packers,0,5,0,1 Yard Run,1st & 10 at GB 45,08:08 1st Shotgun,— J.Jacobs left tackle to GB 46 for 1 yard (K.Alexander; A.McNeill). DET-A.McNeill was injured during the play.
2024,Week 14,THU,12/05,Packers,Lions,1st Quarter,2,Green Bay Packers,0,6,0,3 Yard Pass,2nd & 9 at GB 46,07:32 1st,— J.Love pass short left to D.Wicks to GB 49 for 3 yards (A.Muhammad).
2024,Week 14,THU,12/05,Packers,Lions,1st Quarter,2,Green Bay Packers,0,7,0,Pass Incomplete,3rd & 6 at GB 49,06:51 1st Shotgun,— J.Love pass incomplete deep left to D.Wicks [A.Muhammad].
2024,Week 14,THU,12/05,Packers,Lions,1st Quarter,2,Green Bay Packers,0,8,0,Punt,4th & 6 at GB 49,06:45 1st,"— D.Whelan punts 43 yards to DET 8, Center-M.Orzech, fair catch by M.Alexander."
2024,Week 14,THU,12/05,Packers,Lions,1st Quarter,3,Detroit Lions,0,1,0,2 Yard Run,1st & 10 at DET 8,06:38 1st,— J.Gibbs right tackle to DET 10 for 2 yards (L.Van Ness).
2024,Week 14,THU,12/05,Packers,Lions,1st Quarter,3,Detroit Lions,0,2,0,3 Yard Run,2nd & 8 at DET 10,06:04 1st Shotgun,— J.Gibbs left end to DET 13 for 3 yards (Q.Walker; I.McDuffie).
2024,Week 14,THU,12/05,Packers,Lions,1st Quarter,3,Detroit Lions,0,3,0,-3 Yard Sack,3rd & 5 at DET 13,05:27 1st Shotgun,— J.Goff sacked at DET 10 for -3 yards (R.Gary).
2024,Week 14,THU,12/05,Packers,Lions,1st Quarter,3,Detroit Lions,0,4,0,Punt,4th & 8 at DET 10,04:47 1st,"— J.Fox punts 42 yards to GB 48, Center-H.Hatten, fair catch by J.Reed."
2024,Week 14,THU,12/05,Packers,Lions,1st Quarter,4,Green Bay Packers,0,1,0,5 Yard Run,1st & 10 at GB 48,04:41 1st Shotgun,— J.Jacobs up the middle to DET 47 for 5 yards (M.Agude).
2024,Week 14,THU,12/05,Packers,Lions,1st Quarter,4,Green Bay Packers,0,2,0,Pass Incomplete,2nd & 5 at DET 47,04:04 1st Shotgun,— J.Love pass incomplete short left to J.Reed.
2024,Week 14,THU,12/05,Packers,Lions,1st Quarter,4,Green Bay Packers,0,3,0,Pass Incomplete,3rd & 5 at DET 47,04:01 1st Shotgun,— J.Love pass incomplete short left to C.Watson [E.Turner].
2024,Week 14,THU,12/05,Packers,Lions,1st Quarter,4,Green Bay Packers,0,4,0,-5 Yard Penalty,4th & 5 at DET 47,03:57 1st Shotgun,"— PENALTY on GB, Delay of Game, 5 yards, enforced at DET 47 - No Play."
2024,Week 14,THU,12/05,Packers,Lions,1st Quarter,4,Green Bay Packers,0,5,0,Punt,4th & 10 at GB 48,03:57 1st,"— D.Whelan punts 41 yards to DET 11, Center-M.Orzech, fair catch by M.Alexander."
2024,Week 14,THU,12/05,Packers,Lions,1st Quarter,5,Detroit Lions,0,1,0,6 Yard Pass,1st & 10 at DET 11,03:50 1st,— J.Goff pass short left to Ja.Williams pushed ob at DET 17 for 6 yards (C.Valentine).
2024,Week 14,THU,12/05,Packers,Lions,1st Quarter,5,Detroit Lions,0,2,0,Pass Incomplete,2nd & 4 at DET 17,03:20 1st,— J.Goff pass incomplete short right. Ball thrown away.
2024,Week 14,THU,12/05,Packers,Lions,1st Quarter,5,Detroit Lions,0,3,0,4 Yard Run,3rd & 4 at DET 17,03:14 1st Shotgun,"— J.Gibbs up the middle to DET 21 for 4 yards (I.McDuffie; K.Clark). Green Bay challenged the first down ruling, and the play was Upheld. The ruling on the field stands. (Timeout #1.)"
2024,Week 14,THU,12/05,Packers,Lions,1st Quarter,5,Detroit Lions,0,4,0,0 Yard Run,1st & 10 at DET 21,02:34 1st,— J.Gibbs right end to DET 21 for no gain (K.Clark).
2024,Week 14,THU,12/05,Packers,Lions,1st Quarter,5,Detroit Lions,0,5,0,5 Yard Run,2nd & 10 at DET 21,01:59 1st Shotgun,— J.Gibbs left end to DET 26 for 5 yards (K.Clark).
2024,Week 14,THU,12/05,Packers,Lions,1st Quarter,5,Detroit Lions,0,6,0,-3 Yard Run,3rd & 5 at DET 26,01:17 1st,— J.Gibbs left tackle to DET 23 for -3 yards (C.Wooden).
